Mods;Modifications
Notifications;Notifications
Notification;Notification
Mod;Modification
Build;Build
Version;Version
ii's Stupid Menu;ii's Stupid Menu
Stupid;Stupid
wherever your hand desires;wherever your hand desires
whoever your hand desires;whoever your hand desires
whatever your hand desires;whatever your hand desires
Platforms;Platform
Fly;Fly
Trigger;Trigger
Noclip;No clip
Ghost;Ghost
Invisible;Invisible
Change;Change
Menu;Menu
Settings;Settings
Join;Join
Room;Room
Disable;Disable
Enable;Allow
Gun;Gun
Joystick;Joystick command
Hand;Hand
Left;Left
Right;Right
Forward;Forward
Backward;Backward
Man;Man
Auto;Auto
Anti;Anti
Gravity;Gravity
Disconnect;Disconnect
Exit;Exit
Sound;Sound
Grab;Grab
Teleport;Teleport
Get;Get
into;into
Connect;Connect
Name;Name
Color;Color
Random;Random
Spaz;Spaz
Seuzure;seizure
Speed;Speed
Velocity;Speed
Boost;Boost
Range;Range
Arm;Arm
Long;Long
Tall;Tall
Accept;Accept
Snowball;Snowball snow
Flip;Flip
Fling;Fling
Notify;Notify
Desires;desires
Hunt;Hunt
Infection;Infection
Short;Short
Tag;Tag
Favorite;Favorite
Important;Important
Very;Very
Slow;Slow
Fast;Fast
Last;Last
Public;Public
Create;Create
Cancel;Cancel
Welcome;Welcome
Reconnect;Reconnect
Invites;invites
